date,race_id,race_no,track,distance,start_type,field_size,horse,winner,won,model_rank,is_model_rank_1,score_gap_to_top,total_score,speed_score,record_score,form_score,stallform_score,latest_start_score,post_score,driver_score,driver_change_score,starts_score,win_score,place_score,spel_score,prize_money_score,recent_prize_score,class_change_score,avg_odds_score,wagon_score,shoe_score,inactivity_score,distance_addition_score,gender_score,gallop_score,avg_time,avg_odds,starts,wins,seconds,thirds,win_percent,place_percent,percent,prize_money,post,number,raw
20251227,20251227_1,1,lördag 16:11,2640,auto,12,1 Hankypanky Slander,Readly Winner,0,9,0,71,82,10,10,20,0,5,0,0,0,10,4,8,25,0,0,0,0,0,0,-10,0,0,0,15.23,15.38,23,2,4,5,8.7,47.8,0,273500,1,1,"1 Hankypanky Slanderv5
Kristian Lindberg(Lin Kr)
2%
2640 : 1
273 500
9%
232-4-5
Kristian Lindberg
Vanlig
13,4aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-09
Axevalla-7
Kristian Lindberg
3
2140 : 13
15,0a
6,41
40'
Amerikansk
2025-11-30
Färjestad-6
Per Linderoth
2
1640 : 12
15,2a
15,98
35'
Amerikansk
(n)
2025-11-14
Eskilstuna-7
Per Linderoth
4
2140 : 14
15,2a
6,68
35'
Vanlig
2025-11-03
Årjäng-3
Kristian Lindberg
3
2640 : 12
15,3a
29,63
25'
Amerikansk
2025-08-14
Färjestad-8
Kristian Lindberg
0
2640 : 2
17,3a
18,19
35'
Amerikansk"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,2 Readly Winner,Readly Winner,1,1,1,0,153,17,17,38,0,10,0,15,0,5,20,16,25,0,0,0,0,0,0,-10,0,0,0,14.8,3.74,6,3,1,1,50.0,83.3,0,276500,2,2,"2 Readly Winnerv3
Magnus A Djuse(Dju Ma)
50%
2640 : 2
276 500
50%
63-1-1
Mattias Djuse
Vanlig
13,9aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-03
Bergsåker-2
Mats E Djuse
1
2140 : 6
14,3a
3,24
100'
Vanlig
2025-11-15
Eskilstuna-10
Magnus A Djuse
3
2640 : 4
15,8a
4,49
125'
Vanlig
2025-10-29
Solvalla-2
Magnus A Djuse
1
2140 : 11
13,9a
5,87
60'
Vanlig
2025-10-16
Romme-3
Magnus A Djuse
4
2140 : 7
15,2a
2,45
40'
Vanlig
2025-09-23
Eskilstuna-3
Magnus A Djuse
1
2140 : 3
15,7
2,67
50'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,3 Sundancekid,Readly Winner,0,2,0,15,138,8,8,47,0,10,0,0,0,5,25,20,25,0,0,0,0,0,0,-10,0,0,0,15.62,5.95,9,6,2,0,66.7,88.9,0,261500,3,3,"3 Sundancekidv4
Kevin Svedlund(Sve Ke)
19%
2640 : 3
261 500
67%
96-2-0
Kevin Svedlund
Vanlig
15,6aL
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-07
Romme-5
Kevin Svedlund
1
2640 : 2
16,3a
1,81
40'
Vanlig
(n)
2025-11-17
Bollnäs-3
Kevin Svedlund
1
2640 : 4
15,6a
2,09
35'
Vanlig
2025-11-01
Romme-3
Kevin Svedlund
2
2640 : 8
15,5
18,90
125'
Vanlig
2025-10-13
Bollnäs-6
Kevin Svedlund
1
2140 : 3
14,7
4,88
35'
Vanlig
2025-09-28
Dannero-8
Kevin Svedlund
1
2140 : 1
16,0
2,05
25'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,4 Sunshine Tooma,Readly Winner,0,10,0,74,79,20,20,7,0,0,0,0,0,10,0,0,25,0,6,6,0,0,0,-10,0,-5,0,14.57,88.89,18,1,3,0,5.6,22.2,0,231400,4,4,"4 Sunshine Toomas3
Oskar Kylin Blom(Kyl Os)
1%
2640 : 4
231 400
6%
181-3-0
Oskar Kylin Blom
Vanlig
13,0aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-11-15
Eskilstuna-5
Oskar Kylin Blom
0
2140 : 11
16,8g
33,15
125'
Vanlig
2025-11-02
Solvalla-4
Oskar Kylin Blom
d
2140 : 12
11ag
275,13
200'
Amerikansk
2025-09-30
Eskilstuna-9
Oskar Kylin Blom
2
2140 : 7
14,5
16,60
100'
Vanlig
2025-09-15
Eskilstuna-6
Oskar Kylin Blom
d
2140 : 1
kub4ag
9,33
40'
Amerikansk
2025-07-30
Visby-4
Oskar Kylin Blom
6
2120 : 2
14,0a
110,26
125'
Amerikansk"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,5 Orion,Readly Winner,0,3,0,37,116,24,24,24,0,0,0,15,0,10,4,0,25,0,0,0,0,0,0,-10,0,0,0,13.5,27.57,18,2,2,0,11.1,22.2,0,235250,5,5,"5 Orionv3
Mats E Djuse(Mel St)
5%
2640 : 5
235 250
11%
182-2-0
Stefan Melander
Amerikansk
12,7aK
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-17
Solvalla-7
Mats E Djuse
0
2140 : 6
15,3a
41,02
150'
Amerikansk
2025-11-26
Solvalla-10
Magnus A Djuse
2
1640 : 9
12,7a
6,75
80'
Amerikansk
2025-11-02
Solvalla-6
Magnus A Djuse
0
2140 : 4
13,0a
71,72
200'
Amerikansk
2025-10-22
Solvalla-8
Mats E Djuse
2
1640 : 2
13,1a
10,33
60'
Amerikansk
2025-10-10
Solvalla-6
Magnus A Djuse
1
2140 : 2
14,2a
8,05
60'
Amerikansk"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,6 Bruce Braylon,Readly Winner,0,6,0,57,96,15,15,15,0,3,0,0,0,5,16,12,25,0,0,0,0,0,0,-10,0,0,0,14.98,5.02,10,3,1,2,30.0,60.0,0,259800,6,6,"6 Bruce Braylonh3
Per Lennartsson(Len Pe)
16%
2640 : 6
259 800
30%
103-1-2
Per Lennartsson
Vanlig
14,0aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-17
Solvalla-7
Per Lennartsson
4
2140 : 3
14,7a
10,65
150'
Vanlig
2025-12-10
Solvalla-8
Per Lennartsson
3
2140 : 1
15,0a
3,81
80'
Vanlig
2025-11-19
Solvalla-5
Per Lennartsson
5
2140 : 2
14,0ag
2,86
80'
Vanlig
2025-11-03
Eskilstuna-4
Per Lennartsson
3
2160 : 4
14,3
5,28
50'
Vanlig
2025-10-21
Eskilstuna-8
Per Lennartsson
0
2140 : 9
17,9g
2,49
35'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,7 Konnässör,Readly Winner,0,11,0,79,74,13,13,17,0,0,0,0,0,10,4,2,25,0,0,0,0,0,0,-10,0,0,0,15.13,23.75,23,2,3,3,8.7,34.8,0,233100,7,7,"7 Konnässörh4
Jenny A Björk(Trä Ma)
0%
2640 : 7
233 100
9%
232-3-3
Magnus Träff
Vanlig
14,0aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-15
Romme-4
Kaj Widell
6
2140 : 12
15,6a
61,38
40'
Vanlig
2025-11-26
Romme-1
Jenny A Björk
2
2140 : 5
15,3a
19,15
40'
Vanlig
2025-11-13
Gävle-4
Felicia Molin
3
2140 : 5
14,4a
18,86
40'
Vanlig
2025-10-03
Rättvik-9
Jorma Kontio
7
2640 : 3
16,2
10,92
30'
Vanlig
2025-09-23
Bollnäs-3
Tomas Pettersson
3
2640 : 1
15,3a
8,45
35'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,8 Fleafire,Readly Winner,0,8,0,64,89,15,15,18,0,2,0,4,0,10,8,2,25,0,0,0,0,0,0,-10,0,0,0,14.95,7.73,30,5,3,3,16.7,36.7,0,278600,8,8,"8 Fleafirev5
Rikard N Skoglund(Lyc Vi)
1%
2640 : 8
278 600
17%
305-3-3
Viktor Lyck
Amerikansk
14,5aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-15
Romme-4
Rikard N Skoglund
5
2140 : 11
15,0a
9,79
40'
Amerikansk
2025-11-20
Örebro-8
Magnus Jakobsson
3
2609 : 3
15,6a
2,28
35'
Amerikansk
2025-11-07
Rättvik-6
Rikard N Skoglund
2
2160 : 1
15,2
4,83
30'
Vanlig
2025-10-20
Mantorp-4
Ulf Ohlsson
5
2140 : 10
14,5a
10,92
35'
Amerikansk
2025-10-06
Romme-3
Rikard N Skoglund
5
2140 : 3
14,9a
10,83
40'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,9 Moss Wood,Readly Winner,0,12,0,87,66,1,1,18,0,0,0,8,0,15,8,0,25,0,0,0,0,0,0,-10,0,0,0,15.78,38.43,38,5,0,5,13.2,26.3,0,287964,9,9,"9 Moss Woodv5
Claes Sjöström(Åhl Th)
0%
2640 : 9
287 964
13%
385-0-5
Thomas Åhlund
Amerikansk
15,7aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-11-26
Solvalla-7
Ida Strömbäck
6
2140 : 9
16,1a
91,18
60'
Amerikansk
2025-11-17
Bollnäs-3
Linus Lönn
3
2640 : 11
15,9a
40,70
35'
Amerikansk
2025-11-01
Romme-1
Kevin Svedlund
8
2140 : 5
15,5
45,73
125'
Vanlig
2025-10-25
Bergsåker-7
Kenth Åkerlund
1
2160 : 3
15,6
3,19
12'
Vanlig
2025-09-21
Hagmyren-5
Fredrik Plassen
4
2680 : 3
15,9g
11,34
25'
Vanlig"
20251227,20251227_1,1,lördag 16:11,2640,auto,12,10 Tulinas Eddie,Readly Winner,0,7,0,61,92,10,10,30,0,5,0,0,0,10,4,8,25,0,0,0,0,0,0,-10,0,0,0,15.22,24.06,25,2,4,7,8.0,52.0,0,272800,10,10,"10 Tulinas Eddiev4
Tamara Skutnabb(Sku Ta)
3%
2640 : 10
272 800
8%
252-4-7
Tamara Skutnabb
Vanlig
13,6aM
Trend%:
-
Senaste 5 starterna
Formrader
VIDEO
2025-12-13
Östersund-3
Tamara Skutnabb
3
2140 : 4
14,6a
29,55
125'
Vanlig
(n)
2025-11-25
Bergsåker-5
Tamara Skutnabb
2
2140 : 10
15,2a
23,06
40'
Vanlig
2025-11-18
Bergsåker-8
Jenny A Björk
3
2640 : 2
16,5a
3,54
40'
Vanlig
2025-10-30
Bergsåker-7
Vincent Eliasson
4
2140 : 9
14,7a
22,15
40'
Vanlig
2025-10-17
Gävle-6
Tamara Skutnabb
1
3140 : 13
16,7a
41,98
35'
Vanlig"
