environment_rank,environment_key,parent_key,depth,observations,winners,hit_rate_percent,parent_observations,parent_adjusted_hit_rate_percent,adjusted_hit_rate_percent,lift_vs_root_pp,lift_vs_parent_pp,can_grow,environment,conditions_json,historical_row_count,ranking_score_percent,evidence_factor
1,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,21,16,76.1905,24,59.7019,68.1473,28.8616,8.4454,True,Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",21,58.8371,0.6774
2,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,4,9,8,88.8889,10,72.718,80.3779,41.0922,7.6599,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",9,58.7504,0.4737
3,race_type=Öppet lopp AND spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,4,9,8,88.8889,13,69.5163,77.4415,38.1557,7.9252,True,Lopptyp = Öppet lopp -> SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Nej,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",9,57.3595,0.4737
4,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_score_bucket=325–350,4,8,7,87.5,9,71.4189,78.9865,39.7008,7.5676,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",8,56.9305,0.4444
5,spike_gap_bucket=40+ AND spike_score_bucket=325–350 AND yellow_warning=false,spike_gap_bucket=40+ AND spike_score_bucket=325–350,3,13,11,84.6154,24,59.7019,69.5163,30.2306,9.8144,True,SpikeGap = 40+ -> SpikeScore = 325–350 -> Gul varning = Nej,"[{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""},{""variable"":""Gul varning"",""column"":""yellow_warning"",""value"":false}]",13,56.3726,0.5652
6,race_type=3-hästarslopp AND red_warning=false AND spike_score_bucket=325–350,race_type=3-hästarslopp AND spike_score_bucket=325–350,3,10,9,90.0,12,58.3164,72.718,33.4323,14.4016,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",10,56.0019,0.5
7,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+,race_type=3-hästarslopp AND spike_gap_bucket=40+,3,35,22,62.8571,39,55.3581,60.1302,20.8445,4.7721,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""}]",35,55.4981,0.7778
8,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+ AND spread_bucket=80+,race_type=3-hästarslopp AND red_warning=false AND spike_gap_bucket=40+,4,24,15,62.5,35,60.1302,61.4228,22.1371,1.2926,True,Lopptyp = 3-hästarslopp -> Röd varning = Nej -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",24,54.9119,0.7059
9,race_type=Öppet lopp AND red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,red_warning=false AND spike_gap_bucket=40+ AND spike_score_bucket=325–350,4,12,8,66.6667,21,68.1473,67.5921,28.3063,-0.5552,True,Lopptyp = Öppet lopp -> Röd varning = Nej -> SpikeGap = 40+ -> SpikeScore = 325–350,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""Öppet lopp""},{""variable"":""Röd varning"",""column"":""red_warning"",""value"":false},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""SpikeScore"",""column"":""spike_score_bucket"",""value"":""325–350""}]",12,54.7256,0.5455
10,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+ AND spread_bucket=80+,race_type=3-hästarslopp AND score_gap_bucket=20+ AND spike_gap_bucket=40+,4,20,13,65.0,27,59.7269,62.3635,23.0777,2.6365,True,Lopptyp = 3-hästarslopp -> ScoreGap = 20+ -> SpikeGap = 40+ -> Spread = 80+,"[{""variable"":""Lopptyp"",""column"":""race_type"",""value"":""3-hästarslopp""},{""variable"":""ScoreGap"",""column"":""score_gap_bucket"",""value"":""20+""},{""variable"":""SpikeGap"",""column"":""spike_gap_bucket"",""value"":""40+""},{""variable"":""Spread"",""column"":""spread_bucket"",""value"":""80+""}]",20,54.6709,0.6667
