profile_rank,engine,environment_percent_bucket,tree_level_label,observations_bucket,spike_gap_bucket,spread_bucket,race_type_label,red_warning_label,profile,observations,winners,losers,hit_rate_percent,raw_rank,weighted_light_percent,weighted_light_rank,weighted_light_rank_change,weighted_medium_percent,weighted_medium_rank,weighted_medium_rank_change,weighted_strong_percent,weighted_strong_rank,weighted_strong_rank_change,max_absolute_rank_change
1,SPIKESCORE,60–65,4,20–29,40+,80+,3-hästarslopp,Nej,Miljö=60–65 | Tree=4 | Obs=20–29 | SpikeGap=40+ | Spread=80+ | Lopptyp=3-hästarslopp | Röd=Nej,23,14,9,60.86956521739131,31,56.31860776439089,3,28,52.58032128514056,1,30,49.23553864581132,1,30,30
5,SPIKESCORE,65+,3,20–29,40+,70–80,3-hästarslopp,Nej,Miljö=65+ | Tree=3 | Obs=20–29 | SpikeGap=40+ | Spread=70–80 | Lopptyp=3-hästarslopp | Röd=Nej,4,4,0,100.0,1,62.68711208470245,1,0,52.53394530502964,2,-1,47.537518495032764,3,-2,2
3,SPIKESCORE,65+,3,20–29,40+,<60,Öppet lopp,Nej,Miljö=65+ | Tree=3 | Obs=20–29 | SpikeGap=40+ | Spread=<60 | Lopptyp=Öppet lopp | Röd=Nej,6,5,1,83.33333333333334,28,60.73524868705592,2,26,52.31360223502707,3,25,47.66064257028113,2,26,26
4,SPIKESCORE,55–60,3,20–29,40+,<60,Öppet lopp,Nej,Miljö=55–60 | Tree=3 | Obs=20–29 | SpikeGap=40+ | Spread=<60 | Lopptyp=Öppet lopp | Röd=Nej,8,5,3,62.5,30,52.6372155287818,10,20,48.1285140562249,4,26,45.3910881621725,4,26,26
6,SPIKESCORE,50–55,4,20–29,0–10,80+,3-hästarslopp,Nej,Miljö=50–55 | Tree=4 | Obs=20–29 | SpikeGap=0–10 | Spread=80+ | Lopptyp=3-hästarslopp | Röd=Nej,6,4,2,66.66666666666666,29,53.04294099474822,9,20,47.965776148070546,5,24,45.16064257028113,5,24,24
9,SPIKESCORE,40–45,2,60–99,40+,<60,Öppet lopp,Ja,Miljö=40–45 | Tree=2 | Obs=60–99 | SpikeGap=40+ | Spread=<60 | Lopptyp=Öppet lopp | Röd=Ja,2,2,0,100.0,2,54.39535921463633,4,-2,47.537518495032764,6,-4,44.62293618920125,6,-4,4
10,SPIKESCORE,40–45,3,20–29,10–20,70–80,Öppet lopp,Nej,Miljö=40–45 | Tree=3 | Obs=20–29 | SpikeGap=10–20 | Spread=70–80 | Lopptyp=Öppet lopp | Röd=Nej,2,2,0,100.0,3,54.39535921463633,5,-2,47.537518495032764,7,-4,44.62293618920125,7,-4,4
11,SPIKESCORE,45–50,3,30–39,0–10,<60,Öppet lopp,Nej,Miljö=45–50 | Tree=3 | Obs=30–39 | SpikeGap=0–10 | Spread=<60 | Lopptyp=Öppet lopp | Röd=Nej,2,2,0,100.0,4,54.39535921463633,6,-2,47.537518495032764,8,-4,44.62293618920125,8,-4,4
12,SPIKESCORE,50–55,3,20–29,0–10,<60,Öppet lopp,Nej,Miljö=50–55 | Tree=3 | Obs=20–29 | SpikeGap=0–10 | Spread=<60 | Lopptyp=Öppet lopp | Röd=Nej,2,2,0,100.0,5,54.39535921463633,7,-2,47.537518495032764,9,-4,44.62293618920125,9,-4,4
13,SPIKESCORE,55–60,3,20–29,20–30,80+,3-hästarslopp,Nej,Miljö=55–60 | Tree=3 | Obs=20–29 | SpikeGap=20–30 | Spread=80+ | Lopptyp=3-hästarslopp | Röd=Nej,2,2,0,100.0,6,54.39535921463633,8,-2,47.537518495032764,10,-4,44.62293618920125,10,-4,4
7,SPIKESCORE,Unknown,0,<10,10–20,<60,Öppet lopp,Ja,Miljö=Unknown | Tree=0 | Obs=<10 | SpikeGap=10–20 | Spread=<60 | Lopptyp=Öppet lopp | Röd=Ja,5,3,2,60.0,32,49.12985274431058,11,21,45.60058415480102,11,21,43.754505200288335,11,21,21
2,SPIKESCORE,55–60,3,30–39,40+,80+,Öppet lopp,Nej,Miljö=55–60 | Tree=3 | Obs=30–39 | SpikeGap=40+ | Spread=80+ | Lopptyp=Öppet lopp | Röd=Nej,12,6,6,50.0,33,46.818854364827736,33,0,44.93837418640078,12,21,43.61795006111402,12,21,21
17,SPIKESCORE,40–45,1,40–59,30–40,<60,Öppet lopp,Ja,Miljö=40–45 | Tree=1 | Obs=40–59 | SpikeGap=30–40 | Spread=<60 | Lopptyp=Öppet lopp | Röd=Ja,1,1,0,100.0,7,48.69477911646587,12,-5,44.62293618920125,13,-6,43.040734366035565,13,-6,6
18,SPIKESCORE,40–45,2,20–29,0–10,<60,Öppet lopp,Nej,Miljö=40–45 | Tree=2 | Obs=20–29 | SpikeGap=0–10 | Spread=<60 | Lopptyp=Öppet lopp | Röd=Nej,1,1,0,100.0,8,48.69477911646587,13,-5,44.62293618920125,14,-6,43.040734366035565,14,-6,6
