date,race_id,horse,speed_score_race_rank,starts_score_race_rank,latest_start_score_race_rank,record_score_race_rank,spike_score_race_rank,place_score_race_rank,win_score_race_rank
20251015,20251015_6,Tintarellas4,0.125,0.5,0.375,0.0,0.0,0.0,0.0
20251126,20251126_8,Lady Adores4,0.40625,0.0,0.0,0.375,0.21875,0.0,0.0
20260207,20260207_1,Staro Stevenv5,0.0,0.0,0.0,0.0,0.5,0.5,0.0
20260207,20260207_7,Mago Launcherv6,0.0,0.5,0.0,0.0,0.0,0.0,0.5
20260513,20260513_7,Black Firev8,0.2,0.2875,0.0,0.0,0.2625,0.25,0.0
20260516,20260516_4,Riverdale Z.s7,0.0,0.0,0.0,0.2647058823529412,0.23529411764705882,0.14705882352941177,0.35294117647058826
20260527,20260527_2,Hulte Alvas9,0.0,0.35294117647058826,0.0,0.0,0.3235294117647059,0.3235294117647059,0.0
20260527,20260527_8,Charlys Minev5,0.5,0.0,0.0,0.5,0.0,0.0,0.0
20260530,20260530_5,Carros First Kingv4,0.0,0.5,0.0,0.5,0.0,0.0,0.0
20260606,20260606_8,Princess Diamonds4,0.0,0.5,0.5,0.0,0.0,0.0,0.0
